"DLC_title","bundle_title"
"Cuphead - The Delicious Last Course","Cuphead & The Delicious Last Course"
"Splatoon 3 Expansion Pass","Splatoon 3 Bundle (Game + Expansion Pass)"
"Pokemon Scarlet: The Hidden Treasure of Area Zero","Pokemon Scarlet Bundle (Game + DLC)"
"Pokemon Violet: The Hidden Treasure of Area Zero","Pokemon Violet Bundle (Game + DLC)"
"Xenoblade Chronicles 3 Expansion Pass","Xenoblade Chronicles 3 + Xenoblade Chronicles 3 Pass"
"Mario + Rabbids Sparks of Hope Season Pass","Mario + Rabbids Sparks of Hope Gold Edition"
"Mario + Rabbids Sparks of Hope DLC 3: Rayman in the Phantom Show","Mario + Rabbids Sparks of Hope: + Rayman Edition"
"Mario Kart 8 Deluxe - Booster Course Pass","Mario Kart 8 Deluxe Bundle (Game + Booster Course Pass)"
"Animal Crossing: New Horizons - Happy Home Paradise","Animal Crossing: New Horizons Bundle (Game + DLC)"
"Hyrule Warriors: Age of Calamity Expansion Pass","Hyrule Warriors: Age of Calamity + Hyrule Warriors: Age of Calamity Expansion Pass"
"The Legend of Zelda: Breath of the Wild Expansion Pass","The Legend of Zelda: Breath of the Wild and The Legend of Zelda: Breath of the Wild Expansion Pass Bundle"
"Luigi's Mansion 3: Multiplayer Pack","Luigi's Mansion 3 + Multiplayer Pack Set"
"Fire Emblem: Three Houses - Expansion Pass","Fire Emblem: Three Houses + Expansion Pass"
"Sonic Origins: Plus Expansion Pack","Sonic Origins Plus"
"Cult of the Lamb - Cultist Pack","Cult of the Lamb: Cultist Edition"
"Cult of the Lamb - Cultist and Heretic Pack","Cult of the Lamb: Heretic Edition"
"Persona 5 Tactica: Repaint Your Heart Challenge Pack","Persona 5 Tactica: Digital Deluxe Edition"
"Persona 5 Tactica: Weapon Pack","Persona 5 Tactica: Digital Deluxe Edition"
"Persona 5 Tactica: Picaro Summoning Pack + Raoul Persona","Persona 5 Tactica: Digital Deluxe Edition"
"Pokemon Sword Expansion Pass","Pokemon Sword + Expansion Pass"
"Pokemon Shield Expansion Pass","Pokemon Shield + Expansion Pass"
"Order of Heroes Item Set","Fire Emblem Engage Expansion Pass"
"Super Smash Bros. Ultimate: Challenger Pack 11","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 10","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 9","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 8","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 7","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 6","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate: Challenger Pack 5","Super Smash Bros. Ultimate: Fighters Pass"
"Super Smash Bros. Ultimate: Challenger Pack 4","Super Smash Bros. Ultimate: Fighters Pass"
"Super Smash Bros. Ultimate: Challenger Pack 3","Super Smash Bros. Ultimate: Fighters Pass"
"Super Smash Bros. Ultimate: Challenger Pack 2","Super Smash Bros. Ultimate: Fighters Pass"
"Super Smash Bros. Ultimate: Challenger Pack 1","Super Smash Bros. Ultimate: Fighters Pass"
"Headbangers: Pigeon Pass","Headbangers: Rhythm Royale - Digital Deluxe Edition"
"Overcooked! 2 - Too Many Cooks Pack","Overcooked! 2 - Gourmet Edition"
"Overcooked! 2 - Surf 'n' Turf","Overcooked! 2 - Gourmet Edition"
"Overcooked! 2 - Campfire Cook Off","Overcooked! 2 - Gourmet Edition"
"Overcooked! 2 - Night of the Hangry Horde","Overcooked! 2 - Gourmet Edition"
"Overcooked! 2 - Carnival of Chaos","Overcooked! 2 - Gourmet Edition"
"Nickelodeon All-Star Brawl 2 Season Pass","Nickelodeon All-Star Brawl 2 Deluxe Edition"
"Nickelodeon All-Star Brawl 2 Season Pass","Nickelodeon All-Star Brawl 2 Ultimate Edition"
"Nickelodeon All-Star Brawl 2 Costume Pack","Nickelodeon All-Star Brawl 2 Ultimate Edition"
"Overcooked! 2 - Too Many Cooks Pack","Too Many Cooks + Game"
"Overcooked! 2 - Surf 'n' Turf","Surf 'n' Turf + Game"
"Overcooked! 2 - Campfire Cook Off","Campfire Cook Off + Game"
"Overcooked! 2 - Night of the Hangry Horde","Night of the Hangry Horde + Game"
"Overcooked! 2 - Carnival of Chaos","Carnival Chaos + Game"
