"dev_name","genre"
"Nintendo","Action"
"SQUARE ENIX","Role-Playing"
"Team 17","Simulation"
"Electronic Arts","Adventure"
"Disney Electronic Content","Multiplayer"
"Mojang","Strategy"
"Epic Games","Multiplayer"
"SEGA","Role-Playing"
"BANDAI NAMCO Entertainment","Arcade"
"Hello Games","Simulation"
"Aspyr","Adventure"
"CAPCOM","Arcade"
"Bethesda","Action"
"Innersloth","Party"
"Devolver Digital","Adventure"
"Supergiant Games","Adventure"
"ConcernedApe","Role-Playing"
"StudioMDHR","Platformer"
"Team Cherry","Platformer"
"Ubisoft","Strategy"
"Game Mill","Fighting"
