"func_id","func_type","players_min","players_max"
"1","Single System","1","4"
"2","Online","1","4"
"3","Single System","1","1"
"4","Single System","1","4"
"5","Single System","1","1"
"6","Single System","1","1"
"7","Single System","1","1"
"8","Single System","2","8"
"9","Single System","1","1"
"10","Online","1","1"
"11","Single System","1","4"
"12","Local Wireless","2","4"
"13","Online","1","2"
"14","Single System","1","1"
"15","Single System","1","1"
"16","Local Wireless","2","8"
"17","Online","2","8"
"18","Single System","1","1"
"19","Local Wireless","2","4"
"20","Online","1","4"
"21","Single System","1","1"
"22","Local Wireless","2","4"
"23","Online","1","4"
"24","Single System","1","1"
"25","Single System","1","2"
"26","Local Wireless","2","4"
"27","Online","1","4"
"28","Single System","2","2"
"29","Local Wireless","2","2"
"30","Online","2","2"
"31","Single System","1","4"
"32","Single System","1","4"
"33","Local Wireless","2","8"
"34","Online","2","8"
"35","Single System","1","1"
"36","Online","1","60"
"37","Single System","1","4"
"38","Local Wireless","2","4"
"39","Online","2","4"
"40","Single System","1","2"
"41","Online","2","2"
"42","Single System","1","1"
"43","Single System","1","1"
"44","Single System","1","2"
"45","Single System","1","1"
"46","Single System","1","1"
"47","Single System","1","1"
"48","Local Wireless","4","8"
"49","Online","4","15"
"50","Single System","1","1"
"51","Single System","1","1"
"52","Single System","1","1"
"53","Local Wireless","1","1"
"54","Online","1","4"
"55","Single System","1","2"
"56","Single System","1","1"
"57","Single System","1","1"
"58","Single System","1","4"
"59","Local Wireless","2","8"
"60","Online","2","12"
"61","Single System","1","8"
"62","Local Wireless","2","8"
"63","Online","2","4"
"64","Single System","1","4"
"65","Local Wireless","1","8"
"66","Online","1","8"
"67","Single System","1","2"
"68","Single System","1","1"
"69","Single System","1","2"
"70","Single System","1","8"
"71","Local Wireless","1","8"
"72","Online","1","8"
"73","Single System","1","1"
"74","Single System","1","2"
"75","Single System","1","1"
"76","Single System","1","1"
"77","Single System","1","1"
"78","Online","1","1"
"79","Single System","1","1"
"80","Online","1","1"
"81","Single System","1","1"
"82","Local Wireless","2","8"
"83","Online","1","16"
"84","Single System","1","1"
"85","Local Wireless","2","8"
"86","Online","1","16"
"87","Single System","1","1"
"88","Local Wireless","2","4"
"89","Online","1","4"
"90","Single System","1","1"
"91","Local Wireless","2","4"
"92","Online","1","4"
"93","Single System","1","1"
"94","Online","2","30"
"95","Single System","1","4"
"96","Online","1","12"
"97","Single System","1","1"
